title,year,certificate,duration,genre,rating,votes
Good Girls,(2018–2021),TV-14,43 min,"Comedy, Crime, Drama",7.7,51835
Dated and Related,(2022– ),TV-MA,0,Reality-TV,4.3,379
Jogi,(2022),TV-MA,116 min,"Drama, History, Thriller",7.5,4105
How to Get Away with Murder,(2014–2020),TV-14,43 min,"Crime, Drama, Mystery",8.1,150319
Uncoupled,(2022– ),TV-MA,30 min,"Comedy, Drama, Romance",7.0,13745
Longmire,(2012–2017),TV-14,60 min,"Action, Crime, Drama",8.3,35601
The Anthrax Attacks,(2022),TV-MA,94 min,"Documentary, Crime",6.2,865
White Collar,(2009–2014),TV-PG,40 min,"Comedy, Crime, Drama",8.3,131006
White Noise,(I) (2022),Unknown,136 min,"Comedy, Drama, Horror",5.9,235
After Life,(2019–2022),TV-MA,30 min,"Comedy, Drama",8.4,133432
Outer Banks,(2020– ),TV-MA,50 min,"Action, Crime, Drama",7.6,48115
Luckiest Girl Alive,(2022),R,115 min,"Drama, Mystery, Thriller",0.0,0
Derry Girls,(2018–2022),TV-MA,30 min,Comedy,8.5,36522
El Camino: A Breaking Bad Movie,(2019),TV-MA,122 min,"Action, Crime, Drama",7.3,243473
Anatomy of a Scandal,(2022),TV-MA,268 min,"Drama, Thriller",7.0,27590
A Knight's Tale,(2001),PG-13,132 min,"Action, Adventure, Romance",6.9,186888
The Munsters,(2022),PG,109 min,"Comedy, Family, Fantasy",0.0,0
Baywatch,(2017),R,116 min,"Action, Comedy, Crime",5.5,185920
Broad Peak,(2022),TV-MA,101 min,"Adventure, Biography, Drama",5.9,671
Grimm,(2011–2017),TV-14,45 min,"Crime, Drama, Fantasy",7.8,119368
The Sea Beast,(2022),PG,115 min,"Animation, Adventure, Comedy",7.1,36407
Operation Mincemeat,(2021),PG-13,128 min,"Drama, War",6.6,22162
Alchemy of Souls,(2022– ),Approved,80 min,"Action, Drama, Fantasy",8.7,3769
Chip 'n Dale: Rescue Rangers,(2022),PG,97 min,"Animation, Adventure, Comedy",7.0,37904
Wedding Season,(2022),TV-PG,98 min,"Comedy, Romance",6.3,6947
Black Sails,(2014–2017),TV-MA,56 min,"Action, Adventure, Drama",8.2,104342
Knock Knock,(I) (2015),R,99 min,"Drama, Thriller",4.9,94594
Elementary,(2012–2019),TV-14,60 min,"Crime, Drama, Mystery",7.9,110920
13 Reasons Why,(2017–2020),TV-MA,60 min,"Drama, Mystery, Thriller",7.5,289319
Maid,(2021),TV-MA,545 min,Drama,8.4,81102
The King,(I) (2019),R,140 min,"Biography, Drama, History",7.3,127673
The Adam Project,(2022),PG-13,106 min,"Action, Adventure, Comedy",6.7,193255
Top Boy,(2011– ),TV-MA,60 min,"Crime, Drama, Thriller",8.4,25235
Emily in Paris,(2020– ),TV-MA,30 min,"Comedy, Drama, Romance",6.9,88868
Grease,(1978),PG,110 min,"Comedy, Musical, Romance",7.2,275313
Sicario,(2015),R,121 min,"Action, Crime, Drama",7.6,425967
The Devil All the Time,(2020),R,138 min,"Crime, Drama, Thriller",7.1,133166
Little Women,(2022– ),TV-14,0,"Action, Drama, Mystery",8.6,469
The Fall,(I) (2013–2016),TV-MA,60 min,"Crime, Drama, Thriller",8.1,104577
Elite,(2018– ),TV-MA,60 min,"Crime, Drama, Thriller",7.4,77113
Legally Blonde,(2001),PG-13,96 min,"Comedy, Romance",6.4,216974
2001: A Space Odyssey,(1968),G,149 min,"Adventure, Sci-Fi",8.3,662697
The Little Things,(2021),R,128 min,"Crime, Drama, Mystery",6.3,99050
The Guilty,(2021),R,90 min,"Crime, Drama, Thriller",6.3,121907
Naruto,(2002–2007),TV-PG,24 min,"Animation, Action, Adventure",8.4,99442
Broadchurch,(2013–2017),TV-MA,48 min,"Crime, Drama, Mystery",8.4,112247
Scorpion,(2014–2018),TV-14,43 min,"Action, Crime, Drama",7.0,53803
Spirited Away,(2001),PG,125 min,"Animation, Adventure, Family",8.6,751180
Adventure Time,(2010–2018),TV-PG,11 min,"Animation, Action, Adventure",8.6,93949
Dead to Me,(2019–2022),TV-MA,30 min,"Comedy, Crime, Drama",8.0,76565
The Nice Guys,(2016),R,116 min,"Action, Comedy, Crime",7.3,324865
Designated Survivor,(2016–2019),TV-14,60 min,"Action, Drama, Mystery",7.5,90424
Dracula,(2020),TV-14,270 min,"Action, Drama, Fantasy",6.8,47794
Narcos: Mexico,(2018–2021),TV-MA,50 min,"Crime, Drama",8.4,83199
300,(2006),R,117 min,"Action, Drama",7.6,815351
That's Amor,(2022),TV-14,96 min,"Comedy, Romance",5.2,2055
Resident Evil,(2022),TV-MA,60 min,"Action, Horror, Sci-Fi",4.0,39033
Ginny & Georgia,(2021– ),TV-14,0,"Comedy, Drama",7.4,48057
Grace and Frankie,(2015–2022),TV-MA,30 min,Comedy,8.2,51896
The Man from Toronto,(2022),PG-13,110 min,"Action, Adventure, Comedy",5.8,43867
Snowpiercer,(2020–2023),TV-MA,60 min,"Action, Drama, Sci-Fi",6.9,54342
The Killing,(2011–2014),TV-14,45 min,"Crime, Drama, Mystery",8.3,111425
The Power of the Dog,(2021),R,126 min,"Drama, Romance, Western",6.8,169764
Baby Driver,(2017),R,113 min,"Action, Crime, Drama",7.6,528768
The Haunting of Bly Manor,(2020),TV-MA,494 min,"Drama, Horror, Mystery",7.3,101853
My Hero Academia,(2016– ),TV-14,24 min,"Animation, Action, Adventure",8.4,60041
Arrival,(II) (2016),PG-13,116 min,"Drama, Mystery, Sci-Fi",7.9,684855
Dead Poets Society,(1989),PG,128 min,"Comedy, Drama",8.1,484465
The House,(III) (2022),TV-MA,97 min,"Animation, Comedy, Drama",6.8,15290
Skins,(2007–2013),TV-MA,46 min,Drama,8.2,83918
Bardo,(2022),R,174 min,"Comedy, Drama",6.7,218
Wendell & Wild,(2022),PG-13,105 min,"Animation, Adventure, Comedy",7.5,94
The Woman in the House,(2022),TV-MA,208 min,"Comedy, Crime, Drama",6.4,44195
Kill Bill: Vol. 1,(2003),R,111 min,"Action, Crime, Drama",8.2,1103348
Behind Her Eyes,(2021),TV-MA,298 min,"Drama, Mystery, Thriller",7.2,60901
Bleach,(2004–2012),TV-14,24 min,"Animation, Action, Adventure",8.2,53769
Uncut Gems,(2019),R,135 min,"Crime, Drama, Thriller",7.4,277507
Annihilation,(I) (2018),R,115 min,"Adventure, Drama, Horror",6.8,323342
The Mummy,(2017),PG-13,110 min,"Action, Adventure, Fantasy",5.4,189542
Orphan Black,(2013–2017),TV-MA,44 min,"Drama, Sci-Fi, Thriller",8.3,110756
Altered Carbon,(2018–2020),TV-MA,60 min,"Action, Drama, Sci-Fi",7.9,167469
Supergirl,(2015–2021),TV-PG,43 min,"Action, Adventure, Drama",6.2,123705
Zero Dark Thirty,(2012),R,157 min,"Drama, History, Thriller",7.4,299829
The Irishman,(2019),R,209 min,"Biography, Crime, Drama",7.8,382523
Jurassic World: Fallen Kingdom,(2018),PG-13,128 min,"Action, Adventure, Sci-Fi",6.1,314340
Big Mouth,(2017– ),TV-MA,30 min,"Animation, Comedy, Romance",7.9,77339
Chilling Adventures of Sabrina,(2018–2020),TV-14,60 min,"Drama, Fantasy, Horror",7.4,93761
Death Note,(2006–2007),TV-14,24 min,"Animation, Crime, Drama",9.0,316300
Booksmart,(2019),R,102 min,Comedy,7.1,117900
Heartbreak High,(1994–1999),TV-MA,50 min,"Drama, Romance",7.8,3208
Untitled Super Mario Project,(2023),Unknown,0,"Animation, Adventure, Comedy",0.0,0
The End of the F***ing World,(2017–2019),TV-MA,25 min,"Adventure, Comedy, Crime",8.1,186272
The Revenant,(2015),R,156 min,"Action, Adventure, Drama",8.0,794404
Red Notice,(2021),PG-13,118 min,"Action, Comedy, Thriller",6.3,270232
Jessica Jones,(2015–2019),TV-MA,56 min,"Action, Crime, Drama",7.9,213221
Frozen,(I) (2013),PG,102 min,"Animation, Adventure, Comedy",7.4,620220
Anne with an E,(2017–2019),TV-PG,60 min,"Drama, Family",8.7,54248
Jane the Virgin,(2014–2019),TV-PG,60 min,Comedy,7.9,50019
Incantation,(2022),TV-MA,110 min,"Horror, Mystery",6.2,11424
Queen of the South,(2016–2021),TV-MA,42 min,"Action, Crime, Drama",8.0,30158
Godless,(2017),TV-MA,452 min,"Action, Drama, Western",8.3,66821
Fullmetal Alchemist: Brotherhood,(2009–2010),TV-14,24 min,"Animation, Action, Adventure",9.1,164032
Ray Donovan,(2013–2020),TV-MA,60 min,"Crime, Drama",8.3,86921
Wind River,(2017),R,107 min,"Crime, Drama, Mystery",7.7,249800
Jumanji: The Next Level,(2019),PG-13,123 min,"Action, Adventure, Comedy",6.7,246668
Fakes,(2022– ),TV-MA,30 min,Comedy,6.3,594
The IT Crowd,(2006–2013),TV-14,25 min,Comedy,8.5,151277
DC's Legends of Tomorrow,(2016–2022),TV-14,42 min,"Action, Adventure, Drama",6.8,104446
Heartstopper,(2022– ),TV-14,30 min,"Drama, Romance",8.7,49420
Zodiac,(2007),R,157 min,"Crime, Drama, Mystery",7.7,536068
Iron Fist,(2017–2018),TV-MA,55 min,"Action, Adventure, Crime",6.4,130223
Merlí. Sapere Aude,(2019–2021),TV-MA,50 min,"Comedy, Drama",7.7,2298
The Affair,(2014–2019),TV-MA,60 min,Drama,7.9,45649
Unbelievable,(2019),TV-MA,385 min,"Crime, Drama",8.4,100699
Enola Holmes,(2020),PG-13,123 min,"Action, Adventure, Crime",6.6,169720
Pirates of the Caribbean: Dead Men Tell No Tales,(2017),PG-13,129 min,"Action, Adventure, Fantasy",6.5,309009
Bates Motel,(2013–2017),TV-MA,45 min,"Drama, Horror, Mystery",8.1,107362
Jujutsu Kaisen,(2020– ),TV-MA,24 min,"Animation, Action, Adventure",8.6,56920
Star Trek: Enterprise,(2001–2005),TV-PG,60 min,"Action, Adventure, Drama",7.5,53374
Run,(I) (2020),PG-13,90 min,"Mystery, Thriller",6.7,77264
The Green Knight,(2021),R,130 min,"Adventure, Drama, Fantasy",6.6,98337
All of Us Are Dead,(2022– ),TV-MA,60 min,"Action, Drama, Fantasy",7.5,47580
Jumanji: Welcome to the Jungle,(2017),PG-13,119 min,"Action, Adventure, Comedy",6.9,375650
"El Rey, Vicente Fernández",(2022– ),TV-14,52 min,"Biography, Drama, Music",6.4,127
Bodyguard,(2018),TV-MA,60 min,"Crime, Drama, Thriller",8.1,121426
Luther,(2010–2019),TV-MA,60 min,"Crime, Drama, Mystery",8.4,136105
That '90s Show,0,TV-14,30 min,"Comedy, Drama, Romance",0.0,0
Fauda,(2015– ),TV-MA,60 min,"Action, Drama, Thriller",8.2,26699
Hubie Halloween,(2020),PG-13,103 min,"Comedy, Mystery",5.2,49569
The Watcher,(2022– ),Unknown,0,"Drama, Horror, Mystery",0.0,0
Borgen,(2010–2022),TV-14,58 min,Drama,8.5,26360
Marcella,(2016– ),TV-MA,45 min,"Crime, Drama, Mystery",7.4,31515
Reign,(2013–2017),TV-14,42 min,Drama,7.4,49625
Love Between Fairy and Devil,(2022– ),TV-PG,40 min,"Comedy, Fantasy, Romance",8.6,365
Amar,(2017),Unknown,105 min,"Drama, Romance",5.1,4570
Freaks and Geeks,(1999–2000),TV-14,44 min,"Comedy, Drama",8.8,142164
High Heat,(2022– ),TV-MA,45 min,Drama,5.9,432
